epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,629.076,0.13814,0.55133,0.90413,0.90208,0.89988,0.96222,0.92825,0.14118,0.37687,0.4984,3.49328e-05,3.49328e-05,3.49328e-05
40,831.36,0.13306,0.52863,0.90317,0.84935,0.88647,0.94434,0.90632,0.14802,0.41157,0.50028,3.43784e-05,3.43784e-05,3.43784e-05
41,1027.7,0.12707,0.53528,0.90089,0.8756,0.8887,0.9445,0.91493,0.15859,0.41237,0.51404,3.3824e-05,3.3824e-05,3.3824e-05
42,1224.98,0.12769,0.52697,0.90038,0.87458,0.87376,0.93285,0.90357,nan,nan,nan,3.32696e-05,3.32696e-05,3.32696e-05
43,1422.35,0.12795,0.51585,0.90248,0.90503,0.8473,0.9397,0.91548,0.14784,0.35537,0.51165,3.27152e-05,3.27152e-05,3.27152e-05
44,1619.83,0.1184,0.46073,0.89344,0.91316,0.89502,0.93877,0.91025,0.14241,4.41059,0.50201,3.21608e-05,3.21608e-05,3.21608e-05
45,1821.33,0.12608,0.48732,0.89287,0.86962,0.89892,0.93212,0.8977,0.1464,4.48888,0.50393,3.16064e-05,3.16064e-05,3.16064e-05
46,2018.1,0.12005,0.4576,0.89554,0.90381,0.87506,0.95511,0.92259,0.14418,0.36602,0.50614,3.1052e-05,3.1052e-05,3.1052e-05
47,2214.66,0.11236,0.43419,0.88976,0.90912,0.88581,0.95285,0.9161,0.13569,0.34338,0.49533,3.04976e-05,3.04976e-05,3.04976e-05
48,2413.08,0.11459,0.44953,0.89116,0.91077,0.89177,0.95742,0.92317,0.13455,0.38241,0.49127,2.99432e-05,2.99432e-05,2.99432e-05
49,2611.96,0.11383,0.42603,0.89732,0.89398,0.8699,0.94123,0.91181,0.13521,0.38554,0.50833,2.93888e-05,2.93888e-05,2.93888e-05
50,2808.87,0.1094,0.41198,0.89253,0.91466,0.89757,0.93696,0.90486,0.12855,0.78686,0.49926,2.88344e-05,2.88344e-05,2.88344e-05
51,3006.21,0.11189,0.43471,0.89507,0.90655,0.88545,0.9518,0.92654,0.12273,0.33872,0.49619,2.828e-05,2.828e-05,2.828e-05
52,3202.64,0.11498,0.40336,0.8923,0.91208,0.89459,0.95703,0.92349,0.13228,0.34978,0.49335,2.77256e-05,2.77256e-05,2.77256e-05
53,3399.02,0.1028,0.40146,0.88451,0.87344,0.9312,0.96771,0.94167,0.12832,0.31304,0.48724,2.71712e-05,2.71712e-05,2.71712e-05
54,3598.19,0.11296,0.38933,0.89708,0.87079,0.92633,0.96331,0.9325,0.12718,0.31827,0.49233,2.66168e-05,2.66168e-05,2.66168e-05
55,3794.83,0.10709,0.3995,0.89448,0.89789,0.89463,0.95574,0.93102,0.13113,0.32895,0.48441,2.60624e-05,2.60624e-05,2.60624e-05
56,3991.15,0.10126,0.37082,0.88969,0.90026,0.87564,0.95919,0.92417,0.14521,0.3649,0.50844,2.5508e-05,2.5508e-05,2.5508e-05
57,4187.87,0.10525,0.37103,0.88947,0.90816,0.90899,0.96524,0.93649,0.12999,0.31998,0.48655,2.49536e-05,2.49536e-05,2.49536e-05
58,4384.12,0.10306,0.36193,0.88729,0.92043,0.89706,0.95048,0.92369,0.13171,0.35626,0.48551,2.43992e-05,2.43992e-05,2.43992e-05
59,4582.8,0.10423,0.34461,0.89208,0.91223,0.89266,0.96303,0.92791,0.1491,0.33136,0.50289,2.38448e-05,2.38448e-05,2.38448e-05
60,4790.14,0.09812,0.33644,0.89071,0.92335,0.88622,0.95185,0.92243,0.14133,0.34112,0.49748,2.32904e-05,2.32904e-05,2.32904e-05
61,4992.85,0.09787,0.33556,0.88637,0.9048,0.88911,0.95907,0.92638,0.12082,0.31954,0.48275,2.2736e-05,2.2736e-05,2.2736e-05
62,5190.87,0.09872,0.34925,0.8883,0.93074,0.89744,0.9663,0.92753,0.13898,0.31732,0.50635,2.21816e-05,2.21816e-05,2.21816e-05
63,5387.22,0.09567,0.33778,0.88392,0.92477,0.91013,0.95138,0.91522,0.13291,0.31879,0.5,2.16272e-05,2.16272e-05,2.16272e-05
64,5583.85,0.09305,0.3126,0.88229,0.90319,0.90794,0.95944,0.92771,0.12658,0.33005,0.49176,2.10728e-05,2.10728e-05,2.10728e-05
65,5780.81,0.09231,0.32114,0.88809,0.89491,0.90308,0.95194,0.92116,0.14398,0.32972,0.50725,2.05184e-05,2.05184e-05,2.05184e-05
66,5977.47,0.09221,0.31759,0.88957,0.91597,0.89797,0.9703,0.93491,0.12784,0.29938,0.49684,1.9964e-05,1.9964e-05,1.9964e-05
67,6174.21,0.08612,0.30411,0.88084,0.91574,0.87847,0.95769,0.91842,0.12809,0.34386,0.49979,1.94096e-05,1.94096e-05,1.94096e-05
68,6370.73,0.08861,0.30555,0.88321,0.92823,0.90143,0.96829,0.93593,0.11551,0.30913,0.48001,1.88552e-05,1.88552e-05,1.88552e-05
