epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7089.83,0.38585,2.02078,1.04629,0.42105,0.56442,0.54457,0.4921,0.50741,1.45658,0.79476,0.000622,0.000622,0.000622
44,7233.03,0.3796,1.92774,1.03774,0.50172,0.51501,0.55366,0.51419,0.46439,1.38958,0.76783,0.000613,0.000613,0.000613
45,7405.89,0.38245,1.93111,1.03809,0.44641,0.55023,0.55666,0.49787,0.46416,1.45823,0.81075,0.000604,0.000604,0.000604
46,7573.5,0.36783,1.93073,1.02994,0.47414,0.55417,0.55343,0.51055,0.42594,1.38892,0.72056,0.000595,0.000595,0.000595
47,7745.33,0.36989,1.91163,1.03466,0.52331,0.49456,0.5342,0.49678,0.45349,1.46248,0.7837,0.000586,0.000586,0.000586
48,7905.75,0.3781,1.91372,1.03797,0.52228,0.51785,0.56632,0.52311,0.46259,1.42618,0.79663,0.000577,0.000577,0.000577
49,8069.18,0.36465,1.88966,1.02944,0.55322,0.50083,0.59387,0.54694,0.46332,1.36208,0.78186,0.000568,0.000568,0.000568
50,8229.6,0.36218,1.8683,1.02739,0.50141,0.54777,0.57399,0.54032,0.36899,1.33531,0.66795,0.000559,0.000559,0.000559
51,8389.47,0.36061,1.88502,1.0267,0.55782,0.53993,0.59197,0.56342,0.37775,1.35904,0.69417,0.00055,0.00055,0.00055
52,8544.55,0.37619,1.86169,1.03872,0.54558,0.53812,0.61908,0.57629,0.38516,1.29271,0.71929,0.000541,0.000541,0.000541
53,8699.3,0.35425,1.8358,1.01594,0.56835,0.51652,0.58835,0.55524,0.36186,1.43286,0.67908,0.000532,0.000532,0.000532
54,8858.21,0.36963,1.86818,1.03497,0.50841,0.54921,0.6083,0.57387,0.39495,1.30898,0.72549,0.000523,0.000523,0.000523
55,9018.33,0.35663,1.81244,1.02322,0.53684,0.57562,0.61499,0.57462,0.37925,1.35154,0.67853,0.000514,0.000514,0.000514
56,9170.99,0.35021,1.76447,1.02027,0.5569,0.59386,0.6303,0.59707,0.37297,1.28893,0.68491,0.000505,0.000505,0.000505
