                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.22922,                 2.5057,                0.95033,                0.48197,                0.24526,                 0.2118,                0.19587,                 0.3342,                 2.3062,                0.72659,                0.00307,                0.00307,                0.00307
                     38,                0.21446,                 2.4946,                0.93785,                0.67478,                0.16308,                0.20751,                0.19633,                0.32791,                 2.2808,                0.71111,               0.002872,               0.002872,               0.002872
                     39,                0.20919,                 2.4521,                0.93805,                0.62778,                 0.1739,                0.20945,                0.20271,                0.38739,                 2.2674,                0.81259,               0.002674,               0.002674,               0.002674
                     40,                0.19612,                 2.4277,                0.93437,                 0.5865,                0.22083,                0.24098,                0.23026,                0.28266,                 2.1953,                  0.675,               0.002476,               0.002476,               0.002476
                     41,                0.17848,                 2.2596,                0.93478,                0.55039,                0.21834,                0.20951,                 0.2003,                0.26769,                 2.2081,                0.63428,               0.002278,               0.002278,               0.002278
                     42,                0.17973,                 2.1998,                0.92548,                0.47205,                0.22973,                0.23438,                0.22585,                0.28047,                 2.1423,                0.63594,                0.00208,                0.00208,                0.00208
                     43,                0.17223,                   2.14,                0.91874,                0.41527,                0.25734,                 0.2421,                0.23529,                0.26718,                 2.1412,                0.65341,               0.001882,               0.001882,               0.001882
                     44,                 0.1609,                 2.0875,                0.91092,                0.45375,                0.31163,                0.25364,                0.24364,                0.26352,                 2.0937,                0.65686,               0.001684,               0.001684,               0.001684
                     45,                0.15208,                 2.0498,                0.90962,                0.35351,                0.29575,                0.26118,                0.24938,                0.25219,                 2.1371,                0.63455,               0.001486,               0.001486,               0.001486
                     46,                0.14741,                 2.0273,                0.90314,                0.48349,                0.27766,                0.27519,                0.26422,                0.25578,                 2.0192,                0.64054,               0.001288,               0.001288,               0.001288
                     47,                0.14768,                 2.0006,                0.90479,                0.52082,                0.24336,                0.25274,                0.24537,                0.25995,                 2.0764,                0.65165,                0.00109,                0.00109,                0.00109
                     48,                0.13379,                 1.9339,                0.90304,                0.43106,                0.31182,                0.27531,                0.26771,                0.24344,                 1.9994,                0.62476,               0.000892,               0.000892,               0.000892
                     49,                0.13186,                 1.9163,                0.90709,                 0.2875,                0.33512,                0.28315,                0.27385,                0.24336,                 2.0331,                0.63861,               0.000694,               0.000694,               0.000694
                     50,                0.13005,                 1.8805,                0.89729,                0.35894,                0.33153,                0.28073,                0.27178,                0.23999,                  1.994,                 0.6316,               0.000496,               0.000496,               0.000496
